team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
Buccaneers,TB,5,DT,551029130,Zach Sieler,9,0,9351,92,3,7.00,0,0,0,0,0,0,1.00,0,0,5.00
Buccaneers,TB,5,MLB,551027578,Zaire Franklin,9,0,9777,12,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Buccaneers,TB,5,CB,551027997,Adoree' Jackson,10,0,8599,24,3,4.00,0,1,0,0,0,0,0.00,0,0,4.00
Buccaneers,TB,5,RE,551029193,Preston Smith,12,0,7332,96,5,17.00,0,0,0,0,0,0,2.00,0,0,13.00
Buccaneers,TB,5,RE,551029207,Za'Darius Smith,12,6,7335,90,3,14.00,0,2,0,0,1,16,1.00,0,1,3.00
Cardinals,ARI,6,CB,551029379,Donte Generals,0,0,10355,46,12,27.00,3,5,0,1,1,49,0.50,0,1,17.00
Cardinals,ARI,6,LE,551026960,John Binns,0,0,3759,90,4,12.00,0,0,1,0,0,0,2.00,0,0,5.00
Cardinals,ARI,6,MLB,551027837,Peter Peterson,0,0,3667,40,10,17.00,1,1,0,0,1,15,0.00,0,0,14.00
Cardinals,ARI,6,ROLB,551029488,Peter Ramsey,0,0,10354,53,3,7.00,0,0,0,0,1,20,1.00,0,0,2.00
Cardinals,ARI,6,CB,551028601,Curtis Fowler,1,0,3963,35,12,46.00,12,7,1,1,3,31,1.00,0,0,32.00
Cardinals,ARI,6,CB,551029416,Damian Collins,1,0,3852,36,1,10.00,0,0,0,0,1,31,0.00,0,1,1.00
Cardinals,ARI,6,FS,551027833,Jimmie Nealy,1,0,10357,30,4,6.00,1,2,0,0,0,0,0.00,0,0,6.00
Cardinals,ARI,6,LOLB,551026912,Max Fitzsimmons,1,0,3763,52,7,10.00,0,3,0,0,0,0,1.50,0,0,7.00
Cardinals,ARI,6,DT,551028906,Terrance Nelson,2,0,10333,71,11,30.00,0,2,0,0,0,0,7.00,0,0,16.00
Cardinals,ARI,6,CB,551028030,D.J. James,3,0,10120,27,4,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Cardinals,ARI,6,CB,551029044,Darius Rush,4,0,2378,24,10,17.00,5,3,1,1,1,255,0.00,0,0,11.00
Cardinals,ARI,6,CB,551027481,Akayleb Evans,5,0,1568,25,13,50.00,8,6,0,1,1,8,0.00,0,1,41.00
Cardinals,ARI,6,ROLB,551026788,Brian Asamoah II,5,0,1145,2,5,9.00,0,1,0,0,0,0,1.50,0,0,6.00
Cardinals,ARI,6,RE,551027929,James Houston IV,5,0,2534,91,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Cardinals,ARI,6,MLB,551026895,Terrel Bernard,5,3,1173,43,2,3.00,0,0,0,0,0,0,0.00,0,0,3.00
Cardinals,ARI,6,LE,551028698,Dayo Odeyingbo,6,0,799,96,11,28.00,1,1,0,2,0,0,4.50,0,0,19.00
Cardinals,ARI,6,FS,551028567,Elijah Molden,6,0,1341,29,12,42.00,1,5,1,0,2,46,0.00,0,0,33.00
Cardinals,ARI,6,ROLB,551027325,Akeem Davis-Gaither,7,0,245,41,2,3.00,2,1,0,0,0,0,0.00,0,0,3.00
